,HomePlanet,CryoSleep,Destination,Age,Travel company,VIP,RoomService,FoodCourt,Travel Outcome,Cols,P_S
0,0,0,0,39.0,0,0,0.0,0.0,0,0,0
1,1,0,0,24.0,1,0,109.0,9.0,0,1,1
2,0,0,0,58.0,1,1,43.0,3576.0,1,2,1
3,0,0,0,33.0,0,0,0.0,1283.0,0,2,1
4,1,0,0,16.0,1,0,303.0,70.0,0,1,1
5,1,0,1,44.0,0,0,0.0,483.0,0,1,0
6,1,0,0,26.0,0,0,42.0,1539.0,1,1,1
7,1,1,0,28.0,0,0,0.0,0.0,1,3,1
8,1,0,0,35.0,1,0,0.0,785.0,1,1,1
9,0,1,2,14.0,0,0,0.0,0.0,1,0,0
10,0,1,0,34.0,0,0,0.0,0.0,0,0,0
11,0,0,2,45.0,0,0,39.0,7295.0,1,0,0
12,2,0,0,32.0,0,0,73.0,0.0,0,1,0
13,1,0,0,48.0,1,0,719.0,1.0,1,3,1
14,1,0,0,28.0,0,0,8.0,974.0,1,1,0
15,1,0,0,31.0,0,0,32.0,0.0,1,1,1
16,2,0,2,27.0,1,0,1286.0,122.0,1,1,0
17,1,0,2,24.0,0,0,0.0,1.0,0,1,0
18,2,1,0,45.0,0,0,0.0,0.0,0,1,0
19,1,0,0,0.0,1,0,0.0,0.0,0,3,0
20,1,0,2,14.0,0,0,412.0,0.0,0,1,0
21,1,1,0,1.0,0,0,0.0,0.0,0,4,1
22,1,1,2,49.0,1,0,0.0,0.0,0,4,1
23,1,1,2,29.0,1,0,0.0,0.0,1,4,1
24,1,0,0,10.0,0,0,0.0,0.0,1,4,1
25,1,1,1,1.0,1,0,224.687617481203,0.0,0,4,1
26,1,0,0,7.0,0,0,0.0,0.0,1,4,1
27,2,0,0,21.0,1,0,980.0,2.0,0,5,0
28,0,1,0,62.0,0,0,0.0,0.0,0,6,1
29,1,0,0,15.0,0,0,0.0,225.0,1,1,1
30,0,0,2,34.0,0,0,22.0,6073.0,1,6,0
31,2,0,0,43.0,1,0,1125.0,0.0,1,1,0
32,1,0,0,32.0,1,0,0.0,850.0,1,3,1
33,2,0,0,47.0,0,0,214.0,0.0,0,1,0
34,2,0,0,2.0,1,0,0.0,0.0,1,1,0
35,2,0,0,20.0,1,0,224.687617481203,0.0,1,1,0
36,0,1,2,28.0,1,0,0.0,0.0,1,5,1
37,2,0,2,23.0,1,0,784.0,964.0,1,5,0
38,1,0,2,15.0,1,0,0.0,492.0,1,1,1
39,1,0,2,20.0,1,0,554.0,195.0,1,1,1
40,1,1,2,30.0,1,0,0.0,0.0,1,3,0
